City,SKU,Date,Transfer Quantity
Pune,F001,2023-01-01,18
Pune,F001,2023-01-02,25
Pune,F001,2023-01-03,21
Pune,F001,2023-01-04,20
Pune,F001,2023-01-05,18
Pune,F001,2023-01-06,19
Pune,F001,2023-01-07,18
Pune,F001,2023-01-08,16
Pune,F001,2023-01-09,23
Pune,F001,2023-01-10,21
Pune,F001,2023-01-11,28
Pune,F001,2023-01-12,25
Pune,F001,2023-01-13,32
Pune,F001,2023-01-14,24
Pune,F001,2023-01-15,30
Pune,F001,2023-01-16,22
Pune,F001,2023-01-17,30
Pune,F001,2023-01-18,25
Pune,F001,2023-01-19,25
Pune,F001,2023-01-20,23
Pune,F001,2023-01-21,23
Pune,F001,2023-01-22,20
Pune,F001,2023-01-23,21
Pune,F001,2023-01-24,28
Pune,F001,2023-01-25,27
Pune,F001,2023-01-26,31
Pune,F001,2023-01-27,23
Pune,F001,2023-01-28,32
Pune,F001,2023-01-29,30
Pune,F001,2023-01-30,21
Pune,F002,2023-01-01,20
Pune,F002,2023-01-02,28
Pune,F002,2023-01-03,28
Pune,F002,2023-01-04,19
Pune,F002,2023-01-05,29
Pune,F002,2023-01-06,16
Pune,F002,2023-01-07,18
Pune,F002,2023-01-08,27
Pune,F002,2023-01-09,29
Pune,F002,2023-01-10,25
Pune,F002,2023-01-11,27
Pune,F002,2023-01-12,20
Pune,F002,2023-01-13,33
Pune,F002,2023-01-14,31
Pune,F002,2023-01-15,27
Pune,F002,2023-01-16,29
Pune,F002,2023-01-17,28
Pune,F002,2023-01-18,29
Pune,F002,2023-01-19,25
Pune,F002,2023-01-20,29
Pune,F002,2023-01-21,25
Pune,F002,2023-01-22,27
Pune,F002,2023-01-23,25
Pune,F002,2023-01-24,29
Pune,F002,2023-01-25,30
Pune,F002,2023-01-26,25
Pune,F002,2023-01-27,32
Pune,F002,2023-01-28,22
Pune,F002,2023-01-29,34
Pune,F002,2023-01-30,31
Pune,F003,2023-01-01,29
Pune,F003,2023-01-02,26
Pune,F003,2023-01-03,28
Pune,F003,2023-01-04,19
Pune,F003,2023-01-05,19
Pune,F003,2023-01-06,23
Pune,F003,2023-01-07,26
Pune,F003,2023-01-08,27
Pune,F003,2023-01-09,24
Pune,F003,2023-01-10,24
Pune,F003,2023-01-11,29
Pune,F003,2023-01-12,16
Pune,F003,2023-01-13,30
Pune,F003,2023-01-14,26
Pune,F003,2023-01-15,21
Pune,F003,2023-01-16,24
Pune,F003,2023-01-17,31
Pune,F003,2023-01-18,25
Pune,F003,2023-01-19,22
Pune,F003,2023-01-20,21
Pune,F003,2023-01-21,27
Pune,F003,2023-01-22,33
Pune,F003,2023-01-23,31
Pune,F003,2023-01-24,32
Pune,F003,2023-01-25,21
Pune,F003,2023-01-26,30
Pune,F003,2023-01-27,23
Pune,F003,2023-01-28,30
Pune,F003,2023-01-29,31
Pune,F003,2023-01-30,26
Pune,F004,2023-01-01,22
Pune,F004,2023-01-02,28
Pune,F004,2023-01-03,20
Pune,F004,2023-01-04,24
Pune,F004,2023-01-05,24
Pune,F004,2023-01-06,17
Pune,F004,2023-01-07,20
Pune,F004,2023-01-08,19
Pune,F004,2023-01-09,26
Pune,F004,2023-01-10,29
Pune,F004,2023-01-11,22
Pune,F004,2023-01-12,21
Pune,F004,2023-01-13,23
Pune,F004,2023-01-14,19
Pune,F004,2023-01-15,30
Pune,F004,2023-01-16,23
Pune,F004,2023-01-17,22
Pune,F004,2023-01-18,20
Pune,F004,2023-01-19,30
Pune,F004,2023-01-20,35
Pune,F004,2023-01-21,24
Pune,F004,2023-01-22,20
Pune,F004,2023-01-23,27
Pune,F004,2023-01-24,21
Pune,F004,2023-01-25,26
Pune,F004,2023-01-26,30
Pune,F004,2023-01-27,26
Pune,F004,2023-01-28,34
Pune,F004,2023-01-29,27
Pune,F004,2023-01-30,22
Pune,F005,2023-01-01,19
Pune,F005,2023-01-02,21
Pune,F005,2023-01-03,20
Pune,F005,2023-01-04,23
Pune,F005,2023-01-05,27
Pune,F005,2023-01-06,24
Pune,F005,2023-01-07,21
Pune,F005,2023-01-08,20
Pune,F005,2023-01-09,24
Pune,F005,2023-01-10,26
Pune,F005,2023-01-11,16
Pune,F005,2023-01-12,25
Pune,F005,2023-01-13,29
Pune,F005,2023-01-14,26
Pune,F005,2023-01-15,26
Pune,F005,2023-01-16,24
Pune,F005,2023-01-17,30
Pune,F005,2023-01-18,31
Pune,F005,2023-01-19,28
Pune,F005,2023-01-20,24
Pune,F005,2023-01-21,20
Pune,F005,2023-01-22,30
Pune,F005,2023-01-23,33
Pune,F005,2023-01-24,19
Pune,F005,2023-01-25,33
Pune,F005,2023-01-26,31
Pune,F005,2023-01-27,31
Pune,F005,2023-01-28,25
Pune,F005,2023-01-29,25
Pune,F005,2023-01-30,27
Pune,M001,2023-01-01,25
Pune,M001,2023-01-02,19
Pune,M001,2023-01-03,27
Pune,M001,2023-01-04,24
Pune,M001,2023-01-05,29
Pune,M001,2023-01-06,17
Pune,M001,2023-01-07,22
Pune,M001,2023-01-08,26
Pune,M001,2023-01-09,24
Pune,M001,2023-01-10,29
Pune,M001,2023-01-11,29
Pune,M001,2023-01-12,11
Pune,M001,2023-01-13,17
Pune,M001,2023-01-14,9
Pune,M001,2023-01-15,9
Pune,M001,2023-01-16,7
Pune,M001,2023-01-17,18
Pune,M001,2023-01-18,17
Pune,M001,2023-01-19,19
Pune,M001,2023-01-20,20
Pune,M001,2023-01-21,21
Pune,M001,2023-01-22,24
Pune,M001,2023-01-23,22
Pune,M001,2023-01-24,23
Pune,M001,2023-01-25,24
Pune,M001,2023-01-26,22
Pune,M001,2023-01-27,22
Pune,M001,2023-01-28,20
Pune,M001,2023-01-29,24
Pune,M001,2023-01-30,26
Pune,M002,2023-01-01,22
Pune,M002,2023-01-02,21
Pune,M002,2023-01-03,27
Pune,M002,2023-01-04,18
Pune,M002,2023-01-05,23
Pune,M002,2023-01-06,30
Pune,M002,2023-01-07,23
Pune,M002,2023-01-08,28
Pune,M002,2023-01-09,20
Pune,M002,2023-01-10,21
Pune,M002,2023-01-11,21
Pune,M002,2023-01-12,11
Pune,M002,2023-01-13,11
Pune,M002,2023-01-14,15
Pune,M002,2023-01-15,21
Pune,M002,2023-01-16,14
Pune,M002,2023-01-17,21
Pune,M002,2023-01-18,12
Pune,M002,2023-01-19,12
Pune,M002,2023-01-20,19
Pune,M002,2023-01-21,18
Pune,M002,2023-01-22,14
Pune,M002,2023-01-23,11
Pune,M002,2023-01-24,12
Pune,M002,2023-01-25,8
Pune,M002,2023-01-26,14
Pune,M002,2023-01-27,7
Pune,M002,2023-01-28,10
Pune,M002,2023-01-29,8
Pune,M002,2023-01-30,15
Pune,M003,2023-01-01,26
Pune,M003,2023-01-02,28
Pune,M003,2023-01-03,27
Pune,M003,2023-01-04,20
Pune,M003,2023-01-05,23
Pune,M003,2023-01-06,16
Pune,M003,2023-01-07,32
Pune,M003,2023-01-08,23
Pune,M003,2023-01-09,16
Pune,M003,2023-01-10,32
Pune,M003,2023-01-11,19
Pune,M003,2023-01-12,17
Pune,M003,2023-01-13,10
Pune,M003,2023-01-14,16
Pune,M003,2023-01-15,10
Pune,M003,2023-01-16,8
Pune,M003,2023-01-17,16
Pune,M003,2023-01-18,10
Pune,M003,2023-01-19,12
Pune,M003,2023-01-20,19
Pune,M003,2023-01-21,10
Pune,M003,2023-01-22,8
Pune,M003,2023-01-23,10
Pune,M003,2023-01-24,15
Pune,M003,2023-01-25,11
Pune,M003,2023-01-26,12
Pune,M003,2023-01-27,14
Pune,M003,2023-01-28,14
Pune,M003,2023-01-29,8
Pune,M003,2023-01-30,15
Pune,M004,2023-01-01,25
Pune,M004,2023-01-02,18
Pune,M004,2023-01-03,21
Pune,M004,2023-01-04,17
Pune,M004,2023-01-05,20
Pune,M004,2023-01-06,25
Pune,M004,2023-01-07,28
Pune,M004,2023-01-08,26
Pune,M004,2023-01-09,25
Pune,M004,2023-01-10,21
Pune,M004,2023-01-11,23
Pune,M004,2023-01-12,18
Pune,M004,2023-01-13,9
Pune,M004,2023-01-14,12
Pune,M004,2023-01-15,9
Pune,M004,2023-01-16,19
Pune,M004,2023-01-17,16
Pune,M004,2023-01-18,16
Pune,M004,2023-01-19,17
Pune,M004,2023-01-20,25
Pune,M004,2023-01-21,19
Pune,M004,2023-01-22,16
Pune,M004,2023-01-23,13
Pune,M004,2023-01-24,19
Pune,M004,2023-01-25,9
Pune,M004,2023-01-26,16
Pune,M004,2023-01-27,10
Pune,M004,2023-01-28,16
Pune,M004,2023-01-29,18
Pune,M004,2023-01-30,6
Pune,M005,2023-01-01,34
Pune,M005,2023-01-02,17
Pune,M005,2023-01-03,24
Pune,M005,2023-01-04,27
Pune,M005,2023-01-05,24
Pune,M005,2023-01-06,30
Pune,M005,2023-01-07,31
Pune,M005,2023-01-08,23
Pune,M005,2023-01-09,29
Pune,M005,2023-01-10,19
Pune,M005,2023-01-11,21
Pune,M005,2023-01-12,10
Pune,M005,2023-01-13,16
Pune,M005,2023-01-14,13
Pune,M005,2023-01-15,12
Pune,M005,2023-01-16,16
Pune,M005,2023-01-17,16
Pune,M005,2023-01-18,16
Pune,M005,2023-01-19,12
Pune,M005,2023-01-20,17
Pune,M005,2023-01-21,10
Pune,M005,2023-01-22,17
Pune,M005,2023-01-23,12
Pune,M005,2023-01-24,15
Pune,M005,2023-01-25,18
Pune,M005,2023-01-26,8
Pune,M005,2023-01-27,13
Pune,M005,2023-01-28,17
Pune,M005,2023-01-29,11
Pune,M005,2023-01-30,16
Pune,B001,2023-01-01,70
Pune,B001,2023-01-02,24
Pune,B001,2023-01-03,63
Pune,B001,2023-01-04,45
Pune,B001,2023-01-05,54
Pune,B001,2023-01-06,58
Pune,B001,2023-01-07,27
Pune,B001,2023-01-08,61
Pune,B001,2023-01-09,50
Pune,B001,2023-01-10,45
Pune,B001,2023-01-11,16
Pune,B001,2023-01-12,66
Pune,B001,2023-01-13,24
Pune,B001,2023-01-14,66
Pune,B001,2023-01-15,52
Pune,B001,2023-01-16,22
Pune,B001,2023-01-17,45
Pune,B001,2023-01-18,48
Pune,B001,2023-01-19,79
Pune,B001,2023-01-20,33
Pune,B001,2023-01-21,17
Pune,B001,2023-01-22,22
Pune,B001,2023-01-23,21
Pune,B001,2023-01-24,19
Pune,B001,2023-01-25,18
Pune,B001,2023-01-26,19
Pune,B001,2023-01-27,20
Pune,B001,2023-01-28,18
Pune,B001,2023-01-29,17
Pune,B001,2023-01-30,18
Pune,B002,2023-01-01,38
Pune,B002,2023-01-02,66
Pune,B002,2023-01-03,55
Pune,B002,2023-01-04,37
Pune,B002,2023-01-05,33
Pune,B002,2023-01-06,67
Pune,B002,2023-01-07,64
Pune,B002,2023-01-08,31
Pune,B002,2023-01-09,29
Pune,B002,2023-01-10,21
Pune,B002,2023-01-11,12
Pune,B002,2023-01-12,25
Pune,B002,2023-01-13,31
Pune,B002,2023-01-14,55
Pune,B002,2023-01-15,21
Pune,B002,2023-01-16,77
Pune,B002,2023-01-17,75
Pune,B002,2023-01-18,26
Pune,B002,2023-01-19,69
Pune,B002,2023-01-20,67
Pune,B002,2023-01-21,21
Pune,B002,2023-01-22,22
Pune,B002,2023-01-23,20
Pune,B002,2023-01-24,17
Pune,B002,2023-01-25,22
Pune,B002,2023-01-26,20
Pune,B002,2023-01-27,22
Pune,B002,2023-01-28,20
Pune,B002,2023-01-29,24
Pune,B002,2023-01-30,17
Pune,B003,2023-01-01,47
Pune,B003,2023-01-02,28
Pune,B003,2023-01-03,74
Pune,B003,2023-01-04,26
Pune,B003,2023-01-05,25
Pune,B003,2023-01-06,68
Pune,B003,2023-01-07,57
Pune,B003,2023-01-08,20
Pune,B003,2023-01-09,18
Pune,B003,2023-01-10,74
Pune,B003,2023-01-11,8
Pune,B003,2023-01-12,71
Pune,B003,2023-01-13,29
Pune,B003,2023-01-14,63
Pune,B003,2023-01-15,20
Pune,B003,2023-01-16,25
Pune,B003,2023-01-17,20
Pune,B003,2023-01-18,42
Pune,B003,2023-01-19,78
Pune,B003,2023-01-20,29
Pune,B003,2023-01-21,17
Pune,B003,2023-01-22,25
Pune,B003,2023-01-23,18
Pune,B003,2023-01-24,21
Pune,B003,2023-01-25,17
Pune,B003,2023-01-26,24
Pune,B003,2023-01-27,25
Pune,B003,2023-01-28,25
Pune,B003,2023-01-29,22
Pune,B003,2023-01-30,20
Pune,B004,2023-01-01,22
Pune,B004,2023-01-02,44
Pune,B004,2023-01-03,52
Pune,B004,2023-01-04,28
Pune,B004,2023-01-05,70
Pune,B004,2023-01-06,58
Pune,B004,2023-01-07,40
Pune,B004,2023-01-08,19
Pune,B004,2023-01-09,31
Pune,B004,2023-01-10,22
Pune,B004,2023-01-11,21
Pune,B004,2023-01-12,73
Pune,B004,2023-01-13,20
Pune,B004,2023-01-14,22
Pune,B004,2023-01-15,74
Pune,B004,2023-01-16,48
Pune,B004,2023-01-17,75
Pune,B004,2023-01-18,17
Pune,B004,2023-01-19,32
Pune,B004,2023-01-20,33
Pune,B004,2023-01-21,19
Pune,B004,2023-01-22,21
Pune,B004,2023-01-23,16
Pune,B004,2023-01-24,23
Pune,B004,2023-01-25,21
Pune,B004,2023-01-26,23
Pune,B004,2023-01-27,22
Pune,B004,2023-01-28,18
Pune,B004,2023-01-29,20
Pune,B004,2023-01-30,22
Pune,B005,2023-01-01,43
Pune,B005,2023-01-02,41
Pune,B005,2023-01-03,44
Pune,B005,2023-01-04,44
Pune,B005,2023-01-05,38
Pune,B005,2023-01-06,39
Pune,B005,2023-01-07,42
Pune,B005,2023-01-08,47
Pune,B005,2023-01-09,46
Pune,B005,2023-01-10,36
Pune,B005,2023-01-11,50
Pune,B005,2023-01-12,43
Pune,B005,2023-01-13,47
Pune,B005,2023-01-14,48
Pune,B005,2023-01-15,40
Pune,B005,2023-01-16,47
Pune,B005,2023-01-17,43
Pune,B005,2023-01-18,49
Pune,B005,2023-01-19,39
Pune,B005,2023-01-20,38
Pune,B005,2023-01-21,45
Pune,B005,2023-01-22,46
Pune,B005,2023-01-23,44
Pune,B005,2023-01-24,49
Pune,B005,2023-01-25,45
Pune,B005,2023-01-26,40
Pune,B005,2023-01-27,40
Pune,B005,2023-01-28,38
Pune,B005,2023-01-29,46
Pune,B005,2023-01-30,44
Pune,V001,2023-01-01,52
Pune,V001,2023-01-02,31
Pune,V001,2023-01-03,73
Pune,V001,2023-01-04,29
Pune,V001,2023-01-05,71
Pune,V001,2023-01-06,28
Pune,V001,2023-01-07,19
Pune,V001,2023-01-08,60
Pune,V001,2023-01-09,19
Pune,V001,2023-01-10,22
Pune,V001,2023-01-11,30
Pune,V001,2023-01-12,67
Pune,V001,2023-01-13,79
Pune,V001,2023-01-14,18
Pune,V001,2023-01-15,18
Pune,V001,2023-01-16,61
Pune,V001,2023-01-17,72
Pune,V001,2023-01-18,18
Pune,V001,2023-01-19,17
Pune,V001,2023-01-20,66
Pune,V001,2023-01-21,18
Pune,V001,2023-01-22,22
Pune,V001,2023-01-23,35
Pune,V001,2023-01-24,19
Pune,V001,2023-01-25,25
Pune,V001,2023-01-26,17
Pune,V001,2023-01-27,24
Pune,V001,2023-01-28,20
Pune,V001,2023-01-29,21
Pune,V001,2023-01-30,23
Pune,V002,2023-01-01,58
Pune,V002,2023-01-02,64
Pune,V002,2023-01-03,55
Pune,V002,2023-01-04,51
Pune,V002,2023-01-05,66
Pune,V002,2023-01-06,65
Pune,V002,2023-01-07,63
Pune,V002,2023-01-08,63
Pune,V002,2023-01-09,59
Pune,V002,2023-01-10,64
Pune,V002,2023-01-11,57
Pune,V002,2023-01-12,54
Pune,V002,2023-01-13,59
Pune,V002,2023-01-14,57
Pune,V002,2023-01-15,60
Pune,V002,2023-01-16,65
Pune,V002,2023-01-17,63
Pune,V002,2023-01-18,53
Pune,V002,2023-01-19,54
Pune,V002,2023-01-20,61
Pune,V002,2023-01-21,62
Pune,V002,2023-01-22,59
Pune,V002,2023-01-23,69
Pune,V002,2023-01-24,67
Pune,V002,2023-01-25,65
Pune,V002,2023-01-26,52
Pune,V002,2023-01-27,57
Pune,V002,2023-01-28,63
Pune,V002,2023-01-29,63
Pune,V002,2023-01-30,58
Pune,V003,2023-01-01,53
Pune,V003,2023-01-02,55
Pune,V003,2023-01-03,58
Pune,V003,2023-01-04,60
Pune,V003,2023-01-05,67
Pune,V003,2023-01-06,54
Pune,V003,2023-01-07,58
Pune,V003,2023-01-08,61
Pune,V003,2023-01-09,64
Pune,V003,2023-01-10,63
Pune,V003,2023-01-11,65
Pune,V003,2023-01-12,66
Pune,V003,2023-01-13,63
Pune,V003,2023-01-14,58
Pune,V003,2023-01-15,61
Pune,V003,2023-01-16,64
Pune,V003,2023-01-17,55
Pune,V003,2023-01-18,67
Pune,V003,2023-01-19,58
Pune,V003,2023-01-20,62
Pune,V003,2023-01-21,63
Pune,V003,2023-01-22,51
Pune,V003,2023-01-23,66
Pune,V003,2023-01-24,59
Pune,V003,2023-01-25,62
Pune,V003,2023-01-26,59
Pune,V003,2023-01-27,64
Pune,V003,2023-01-28,59
Pune,V003,2023-01-29,68
